basin,lat1,lat2,lon1,lon2
global,-90,90,-180,180
arctic,55,90,-180,180
southernH,-90,0,-180,180
northernH,0,90,-180,180
indian,-60,30,20,146
atlantic,-60,55,-68,20
pacific,-60,55,146,-68
southern,-90,-55,-180,180
