"path","filename","variable","domain","model","experiment","ensemble"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/historical/ph_Omon_CanESM2_historical_r1i1p1_185001-200512.nc","ph_Omon_CanESM2_historical_r1i1p1_185001-200512.nc","ph","Omon","CanESM2","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/historical/ph_Omon_CESM1-BGC_historical_r1i1p1_185001-200512.nc","ph_Omon_CESM1-BGC_historical_r1i1p1_185001-200512.nc","ph","Omon","CESM1-BGC","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/historical/ph_Omon_CMCC-CESM_historical_r1i1p1_185001-200512.nc","ph_Omon_CMCC-CESM_historical_r1i1p1_185001-200512.nc","ph","Omon","CMCC-CESM","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/historical/ph_Omon_GFDL-ESM2G_historical_r1i1p1_190101-200512.nc","ph_Omon_GFDL-ESM2G_historical_r1i1p1_190101-200512.nc","ph","Omon","GFDL-ESM2G","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/historical/ph_Omon_GFDL-ESM2M_historical_r1i1p1_186101-200512.nc","ph_Omon_GFDL-ESM2M_historical_r1i1p1_186101-200512.nc","ph","Omon","GFDL-ESM2M","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/historical/ph_Omon_HadGEM2-CC_historical_r1i1p1_185912-200511.nc","ph_Omon_HadGEM2-CC_historical_r1i1p1_185912-200511.nc","ph","Omon","HadGEM2-CC","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/historical/ph_Omon_IPSL-CM5A-MR_historical_r1i1p1_195001-200512.nc","ph_Omon_IPSL-CM5A-MR_historical_r1i1p1_195001-200512.nc","ph","Omon","IPSL-CM5A-MR","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/historical/ph_Omon_MPI-ESM-LR_historical_r1i1p1_185001-200512.nc","ph_Omon_MPI-ESM-LR_historical_r1i1p1_185001-200512.nc","ph","Omon","MPI-ESM-LR","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/historical/ph_Omon_MPI-ESM-MR_historical_r1i1p1_190001-200512.nc","ph_Omon_MPI-ESM-MR_historical_r1i1p1_190001-200512.nc","ph","Omon","MPI-ESM-MR","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/historical/ph_Omon_NorESM1-ME_historical_r1i1p1_185001-200512.nc","ph_Omon_NorESM1-ME_historical_r1i1p1_185001-200512.nc","ph","Omon","NorESM1-ME","historical","r1i1p1"
