"path","filename","variable","domain","model","experiment","ensemble"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/historical/xph_Omon_HadGEM2-ES_historical_r1i1p1_195912-200512.nc","xph_Omon_HadGEM2-ES_historical_r1i1p1_195912-200512.nc","ph","Omon","HadGEM2-ES","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/ph_Omon_IPSL-CM5A-LR_historical_r1i1p1_185001-200512.nc","ph_Omon_IPSL-CM5A-LR_historical_r1i1p1_185001-200512.nc","ph","Omon","IPSL-CM5A-LR","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/ph_Omon_IPSL-CM5A-MR_historical_r1i1p1_185001-200512.nc","ph_Omon_IPSL-CM5A-MR_historical_r1i1p1_185001-200512.nc","ph","Omon","IPSL-CM5A-MR","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/ph_Omon_IPSL-CM5B-LR_historical_r1i1p1_185001-200512.nc","ph_Omon_IPSL-CM5B-LR_historical_r1i1p1_185001-200512.nc","ph","Omon","IPSL-CM5B-LR","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/ph_Omon_MRI-ESM1_historical_r1i1p1_185101-200512.nc","ph_Omon_MRI-ESM1_historical_r1i1p1_185101-200512.nc","ph","Omon","MRI-ESM1","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/ph_Omon_MRI-ESM1_rcp85_r1i1p1_200601-210012.nc","ph_Omon_MRI-ESM1_rcp85_r1i1p1_200601-210012.nc","ph","Omon","MRI-ESM1","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rcp85/ph_Omon_CanESM2_rcp85_r1i1p1_200601-210012.nc","ph_Omon_CanESM2_rcp85_r1i1p1_200601-210012.nc","ph","Omon","CanESM2","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rcp85/ph_Omon_CESM1-BGC_rcp85_r1i1p1_200601-210012.nc","ph_Omon_CESM1-BGC_rcp85_r1i1p1_200601-210012.nc","ph","Omon","CESM1-BGC","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rcp85/ph_Omon_CMCC-CESM_rcp85_r1i1p1_200601-210012.nc","ph_Omon_CMCC-CESM_rcp85_r1i1p1_200601-210012.nc","ph","Omon","CMCC-CESM","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rcp85/ph_Omon_GFDL-ESM2G_rcp85_r1i1p1_200601-210012.nc","ph_Omon_GFDL-ESM2G_rcp85_r1i1p1_200601-210012.nc","ph","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rcp85/ph_Omon_GFDL-ESM2M_rcp85_r1i1p1_200601-210012.nc","ph_Omon_GFDL-ESM2M_rcp85_r1i1p1_200601-210012.nc","ph","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rcp85/ph_Omon_HadGEM2-CC_rcp85_r1i1p1_200512-210012.nc","ph_Omon_HadGEM2-CC_rcp85_r1i1p1_200512-210012.nc","ph","Omon","HadGEM2-CC","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rcp85/ph_Omon_IPSL-CM5A-LR_rcp85_r1i1p1_200601-210512.nc","ph_Omon_IPSL-CM5A-LR_rcp85_r1i1p1_200601-210512.nc","ph","Omon","IPSL-CM5A-LR","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rcp85/ph_Omon_IPSL-CM5A-MR_rcp85_r1i1p1_200601-210012.nc","ph_Omon_IPSL-CM5A-MR_rcp85_r1i1p1_200601-210012.nc","ph","Omon","IPSL-CM5A-MR","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rcp85/ph_Omon_IPSL-CM5B-LR_rcp85_r1i1p1_200601-210012.nc","ph_Omon_IPSL-CM5B-LR_rcp85_r1i1p1_200601-210012.nc","ph","Omon","IPSL-CM5B-LR","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rcp85/ph_Omon_MPI-ESM-LR_rcp85_r1i1p1_200601-210012.nc","ph_Omon_MPI-ESM-LR_rcp85_r1i1p1_200601-210012.nc","ph","Omon","MPI-ESM-LR","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rcp85/ph_Omon_MPI-ESM-MR_rcp85_r1i1p1_200601-210012.nc","ph_Omon_MPI-ESM-MR_rcp85_r1i1p1_200601-210012.nc","ph","Omon","MPI-ESM-MR","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rcp85/ph_Omon_NorESM1-ME_rcp85_r1i1p1_200601-210012.nc","ph_Omon_NorESM1-ME_rcp85_r1i1p1_200601-210012.nc","ph","Omon","NorESM1-ME","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rcp85/xph_Omon_HadGEM2-ES_rcp85_r1i1p1_200512-209912.nc","xph_Omon_HadGEM2-ES_rcp85_r1i1p1_200512-209912.nc","ph","Omon","HadGEM2-ES","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rcp85/xxph_Omon_GFDL-ESM2M_rcp85_r1i1p1_200601-210012.nc","xxph_Omon_GFDL-ESM2M_rcp85_r1i1p1_200601-210012.nc","ph","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rgph_Omon_GFDL-ESM2M_historical_r1i1p1_185001-200512.nc","rgph_Omon_GFDL-ESM2M_historical_r1i1p1_185001-200512.nc","ph","Omon","GFDL-ESM2M","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rgph_Omon_GFDL-ESM2M_rcp85_r1i1p1_200601-210012.nc","rgph_Omon_GFDL-ESM2M_rcp85_r1i1p1_200601-210012.nc","ph","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rgph_Omon_IPSL-CM5A-LR_historical_r1i1p1_185001-200512.nc","rgph_Omon_IPSL-CM5A-LR_historical_r1i1p1_185001-200512.nc","ph","Omon","IPSL-CM5A-LR","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rgph_Omon_IPSL-CM5A-LR_rcp85_r1i1p1_200601-210012.nc","rgph_Omon_IPSL-CM5A-LR_rcp85_r1i1p1_200601-210012.nc","ph","Omon","IPSL-CM5A-LR","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rgph_Omon_IPSL-CM5A-MR_historical_r1i1p1_185001-200512.nc","rgph_Omon_IPSL-CM5A-MR_historical_r1i1p1_185001-200512.nc","ph","Omon","IPSL-CM5A-MR","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rgph_Omon_IPSL-CM5A-MR_rcp85_r1i1p1_200601-210012.nc","rgph_Omon_IPSL-CM5A-MR_rcp85_r1i1p1_200601-210012.nc","ph","Omon","IPSL-CM5A-MR","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rgph_Omon_IPSL-CM5B-LR_historical_r1i1p1_185001-200512.nc","rgph_Omon_IPSL-CM5B-LR_historical_r1i1p1_185001-200512.nc","ph","Omon","IPSL-CM5B-LR","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rgph_Omon_IPSL-CM5B-LR_rcp85_r1i1p1_200601-210012.nc","rgph_Omon_IPSL-CM5B-LR_rcp85_r1i1p1_200601-210012.nc","ph","Omon","IPSL-CM5B-LR","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rgph_Omon_MRI-ESM1_historical_r1i1p1_185101-200512.nc","rgph_Omon_MRI-ESM1_historical_r1i1p1_185101-200512.nc","ph","Omon","MRI-ESM1","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CLynch/PH_extra/rgph_Omon_MRI-ESM1_rcp85_r1i1p1_200601-210012.nc","rgph_Omon_MRI-ESM1_rcp85_r1i1p1_200601-210012.nc","ph","Omon","MRI-ESM1","rcp85","r1i1p1"
