"time","units","value","year","month","model","experiment","variable","ensemble","method_used"
18500116.5,"1",8.16363620758057,"1850","01","CanESM2","historical","ph","r1i1p1","fldmean"
18500215,"1",8.16341495513916,"1850","02","CanESM2","historical","ph","r1i1p1","fldmean"
18500316.5,"1",8.16539764404297,"1850","03","CanESM2","historical","ph","r1i1p1","fldmean"
18500416,"1",8.16838645935059,"1850","04","CanESM2","historical","ph","r1i1p1","fldmean"
18500516.5,"1",8.16986274719238,"1850","05","CanESM2","historical","ph","r1i1p1","fldmean"
18500616,"1",8.16729354858398,"1850","06","CanESM2","historical","ph","r1i1p1","fldmean"
18500716.5,"1",8.1631383895874,"1850","07","CanESM2","historical","ph","r1i1p1","fldmean"
18500816.5,"1",8.1603422164917,"1850","08","CanESM2","historical","ph","r1i1p1","fldmean"
18500916,"1",8.16074848175049,"1850","09","CanESM2","historical","ph","r1i1p1","fldmean"
18501016.5,"1",8.16396617889404,"1850","10","CanESM2","historical","ph","r1i1p1","fldmean"
18501116,"1",8.16616630554199,"1850","11","CanESM2","historical","ph","r1i1p1","fldmean"
18501216.5,"1",8.16461372375488,"1850","12","CanESM2","historical","ph","r1i1p1","fldmean"
18510116.5,"1",8.16104984283447,"1851","01","CanESM2","historical","ph","r1i1p1","fldmean"
18510215,"1",8.16033840179443,"1851","02","CanESM2","historical","ph","r1i1p1","fldmean"
18510316.5,"1",8.16236305236816,"1851","03","CanESM2","historical","ph","r1i1p1","fldmean"
18510416,"1",8.16568660736084,"1851","04","CanESM2","historical","ph","r1i1p1","fldmean"
18510516.5,"1",8.16778469085693,"1851","05","CanESM2","historical","ph","r1i1p1","fldmean"
18510616,"1",8.16605854034424,"1851","06","CanESM2","historical","ph","r1i1p1","fldmean"
18510716.5,"1",8.16287136077881,"1851","07","CanESM2","historical","ph","r1i1p1","fldmean"
18510816.5,"1",8.1600980758667,"1851","08","CanESM2","historical","ph","r1i1p1","fldmean"
18510916,"1",8.16133689880371,"1851","09","CanESM2","historical","ph","r1i1p1","fldmean"
18511016.5,"1",8.16461658477783,"1851","10","CanESM2","historical","ph","r1i1p1","fldmean"
18511116,"1",8.16644096374512,"1851","11","CanESM2","historical","ph","r1i1p1","fldmean"
18511216.5,"1",8.16511726379395,"1851","12","CanESM2","historical","ph","r1i1p1","fldmean"
18520116.5,"1",8.1626091003418,"1852","01","CanESM2","historical","ph","r1i1p1","fldmean"
18520215,"1",8.16168403625488,"1852","02","CanESM2","historical","ph","r1i1p1","fldmean"
18520316.5,"1",8.16333866119385,"1852","03","CanESM2","historical","ph","r1i1p1","fldmean"
18520416,"1",8.16650772094727,"1852","04","CanESM2","historical","ph","r1i1p1","fldmean"
18520516.5,"1",8.1674861907959,"1852","05","CanESM2","historical","ph","r1i1p1","fldmean"
18520616,"1",8.16542911529541,"1852","06","CanESM2","historical","ph","r1i1p1","fldmean"
18520716.5,"1",8.16169834136963,"1852","07","CanESM2","historical","ph","r1i1p1","fldmean"
18520816.5,"1",8.15944576263428,"1852","08","CanESM2","historical","ph","r1i1p1","fldmean"
18520916,"1",8.16024398803711,"1852","09","CanESM2","historical","ph","r1i1p1","fldmean"
18521016.5,"1",8.16334438323975,"1852","10","CanESM2","historical","ph","r1i1p1","fldmean"
18521116,"1",8.16472816467285,"1852","11","CanESM2","historical","ph","r1i1p1","fldmean"
18521216.5,"1",8.16342163085938,"1852","12","CanESM2","historical","ph","r1i1p1","fldmean"
18530116.5,"1",8.16069412231445,"1853","01","CanESM2","historical","ph","r1i1p1","fldmean"
18530215,"1",8.15951251983643,"1853","02","CanESM2","historical","ph","r1i1p1","fldmean"
18530316.5,"1",8.16191387176514,"1853","03","CanESM2","historical","ph","r1i1p1","fldmean"
18530416,"1",8.16534042358398,"1853","04","CanESM2","historical","ph","r1i1p1","fldmean"
18530516.5,"1",8.16750240325928,"1853","05","CanESM2","historical","ph","r1i1p1","fldmean"
18530616,"1",8.16638278961182,"1853","06","CanESM2","historical","ph","r1i1p1","fldmean"
18530716.5,"1",8.16257381439209,"1853","07","CanESM2","historical","ph","r1i1p1","fldmean"
18530816.5,"1",8.16069793701172,"1853","08","CanESM2","historical","ph","r1i1p1","fldmean"
18530916,"1",8.16180038452148,"1853","09","CanESM2","historical","ph","r1i1p1","fldmean"
18531016.5,"1",8.16456413269043,"1853","10","CanESM2","historical","ph","r1i1p1","fldmean"
18531116,"1",8.16631317138672,"1853","11","CanESM2","historical","ph","r1i1p1","fldmean"
18531216.5,"1",8.16480445861816,"1853","12","CanESM2","historical","ph","r1i1p1","fldmean"
18540116.5,"1",8.16224193572998,"1854","01","CanESM2","historical","ph","r1i1p1","fldmean"
18540215,"1",8.16188526153564,"1854","02","CanESM2","historical","ph","r1i1p1","fldmean"
18540316.5,"1",8.16392421722412,"1854","03","CanESM2","historical","ph","r1i1p1","fldmean"
18540416,"1",8.16671180725098,"1854","04","CanESM2","historical","ph","r1i1p1","fldmean"
18540516.5,"1",8.16787624359131,"1854","05","CanESM2","historical","ph","r1i1p1","fldmean"
18540616,"1",8.16626358032227,"1854","06","CanESM2","historical","ph","r1i1p1","fldmean"
18540716.5,"1",8.16294574737549,"1854","07","CanESM2","historical","ph","r1i1p1","fldmean"
18540816.5,"1",8.16056251525879,"1854","08","CanESM2","historical","ph","r1i1p1","fldmean"
18540916,"1",8.16177368164062,"1854","09","CanESM2","historical","ph","r1i1p1","fldmean"
18541016.5,"1",8.16440486907959,"1854","10","CanESM2","historical","ph","r1i1p1","fldmean"
18541116,"1",8.16554164886475,"1854","11","CanESM2","historical","ph","r1i1p1","fldmean"
18541216.5,"1",8.1639575958252,"1854","12","CanESM2","historical","ph","r1i1p1","fldmean"
18550116.5,"1",8.16035556793213,"1855","01","CanESM2","historical","ph","r1i1p1","fldmean"
18550215,"1",8.15874481201172,"1855","02","CanESM2","historical","ph","r1i1p1","fldmean"
18550316.5,"1",8.16127967834473,"1855","03","CanESM2","historical","ph","r1i1p1","fldmean"
18550416,"1",8.16556930541992,"1855","04","CanESM2","historical","ph","r1i1p1","fldmean"
18550516.5,"1",8.16777992248535,"1855","05","CanESM2","historical","ph","r1i1p1","fldmean"
18550616,"1",8.16605377197266,"1855","06","CanESM2","historical","ph","r1i1p1","fldmean"
18550716.5,"1",8.16205406188965,"1855","07","CanESM2","historical","ph","r1i1p1","fldmean"
18550816.5,"1",8.15909957885742,"1855","08","CanESM2","historical","ph","r1i1p1","fldmean"
18550916,"1",8.16039943695068,"1855","09","CanESM2","historical","ph","r1i1p1","fldmean"
18551016.5,"1",8.16366004943848,"1855","10","CanESM2","historical","ph","r1i1p1","fldmean"
18551116,"1",8.16591644287109,"1855","11","CanESM2","historical","ph","r1i1p1","fldmean"
18551216.5,"1",8.16528701782227,"1855","12","CanESM2","historical","ph","r1i1p1","fldmean"
18560116.5,"1",8.16248512268066,"1856","01","CanESM2","historical","ph","r1i1p1","fldmean"
18560215,"1",8.16225528717041,"1856","02","CanESM2","historical","ph","r1i1p1","fldmean"
18560316.5,"1",8.16384029388428,"1856","03","CanESM2","historical","ph","r1i1p1","fldmean"
18560416,"1",8.16671466827393,"1856","04","CanESM2","historical","ph","r1i1p1","fldmean"
18560516.5,"1",8.16796398162842,"1856","05","CanESM2","historical","ph","r1i1p1","fldmean"
18560616,"1",8.16618728637695,"1856","06","CanESM2","historical","ph","r1i1p1","fldmean"
18560716.5,"1",8.16245174407959,"1856","07","CanESM2","historical","ph","r1i1p1","fldmean"
18560816.5,"1",8.15975761413574,"1856","08","CanESM2","historical","ph","r1i1p1","fldmean"
18560916,"1",8.16045188903809,"1856","09","CanESM2","historical","ph","r1i1p1","fldmean"
18561016.5,"1",8.1633939743042,"1856","10","CanESM2","historical","ph","r1i1p1","fldmean"
18561116,"1",8.16513824462891,"1856","11","CanESM2","historical","ph","r1i1p1","fldmean"
18561216.5,"1",8.16424369812012,"1856","12","CanESM2","historical","ph","r1i1p1","fldmean"
18570116.5,"1",8.16090202331543,"1857","01","CanESM2","historical","ph","r1i1p1","fldmean"
18570215,"1",8.15976047515869,"1857","02","CanESM2","historical","ph","r1i1p1","fldmean"
18570316.5,"1",8.16218090057373,"1857","03","CanESM2","historical","ph","r1i1p1","fldmean"
18570416,"1",8.16572380065918,"1857","04","CanESM2","historical","ph","r1i1p1","fldmean"
18570516.5,"1",8.16729640960693,"1857","05","CanESM2","historical","ph","r1i1p1","fldmean"
18570616,"1",8.16547870635986,"1857","06","CanESM2","historical","ph","r1i1p1","fldmean"
18570716.5,"1",8.16222286224365,"1857","07","CanESM2","historical","ph","r1i1p1","fldmean"
18570816.5,"1",8.15963077545166,"1857","08","CanESM2","historical","ph","r1i1p1","fldmean"
18570916,"1",8.16072845458984,"1857","09","CanESM2","historical","ph","r1i1p1","fldmean"
18571016.5,"1",8.1638355255127,"1857","10","CanESM2","historical","ph","r1i1p1","fldmean"
18571116,"1",8.16579437255859,"1857","11","CanESM2","historical","ph","r1i1p1","fldmean"
