"path","filename","variable","domain","model","experiment","ensemble"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_HISTORICAL/co3/co3_Omon_CESM1-BGC_historical_r1i1p1_185001-200512.nc","co3_Omon_CESM1-BGC_historical_r1i1p1_185001-200512.nc","co3","Omon","CESM1-BGC","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_HISTORICAL/co3/co3_Omon_CMCC-CESM_historical_r1i1p1_185001-200512.nc","co3_Omon_CMCC-CESM_historical_r1i1p1_185001-200512.nc","co3","Omon","CMCC-CESM","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_HISTORICAL/co3/co3_Omon_IPSL-CM5A-LR_historical_r1i1p1_185001-194912.nc","co3_Omon_IPSL-CM5A-LR_historical_r1i1p1_185001-194912.nc","co3","Omon","IPSL-CM5A-LR","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_HISTORICAL/co3/co3_Omon_IPSL-CM5A-LR_historical_r1i1p1_195001-200512.nc","co3_Omon_IPSL-CM5A-LR_historical_r1i1p1_195001-200512.nc","co3","Omon","IPSL-CM5A-LR","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_HISTORICAL/co3/co3_Omon_IPSL-CM5A-MR_historical_r1i1p1_185001-194912.nc","co3_Omon_IPSL-CM5A-MR_historical_r1i1p1_185001-194912.nc","co3","Omon","IPSL-CM5A-MR","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_HISTORICAL/co3/co3_Omon_IPSL-CM5A-MR_historical_r1i1p1_195001-200512.nc","co3_Omon_IPSL-CM5A-MR_historical_r1i1p1_195001-200512.nc","co3","Omon","IPSL-CM5A-MR","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_HISTORICAL/co3/co3_Omon_IPSL-CM5B-LR_historical_r1i1p1_185001-194912.nc","co3_Omon_IPSL-CM5B-LR_historical_r1i1p1_185001-194912.nc","co3","Omon","IPSL-CM5B-LR","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_HISTORICAL/co3/co3_Omon_IPSL-CM5B-LR_historical_r1i1p1_195001-200512.nc","co3_Omon_IPSL-CM5B-LR_historical_r1i1p1_195001-200512.nc","co3","Omon","IPSL-CM5B-LR","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_HISTORICAL/co3/co3_Omon_MPI-ESM-LR_historical_r1i1p1_185001-200512.nc","co3_Omon_MPI-ESM-LR_historical_r1i1p1_185001-200512.nc","co3","Omon","MPI-ESM-LR","historical","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_HISTORICAL/co3/co3_Omon_NorESM1-ME_historical_r1i1p1_185001-200512.nc","co3_Omon_NorESM1-ME_historical_r1i1p1_185001-200512.nc","co3","Omon","NorESM1-ME","historical","r1i1p1"
