"path","filename","variable","domain","model","experiment","ensemble"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_CESM1-BGC_rcp85_r1i1p1_200601-210012.nc","co3_Omon_CESM1-BGC_rcp85_r1i1p1_200601-210012.nc","co3","Omon","CESM1-BGC","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_CMCC-CESM_rcp85_r1i1p1_200601-210012.nc","co3_Omon_CMCC-CESM_rcp85_r1i1p1_200601-210012.nc","co3","Omon","CMCC-CESM","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_200601-201012.nc","co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_200601-201012.nc","co3","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_201101-201512.nc","co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_201101-201512.nc","co3","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_201601-202012.nc","co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_201601-202012.nc","co3","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_202101-202512.nc","co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_202101-202512.nc","co3","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_202601-203012.nc","co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_202601-203012.nc","co3","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_203101-203512.nc","co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_203101-203512.nc","co3","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_203601-204012.nc","co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_203601-204012.nc","co3","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_204101-204512.nc","co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_204101-204512.nc","co3","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_204601-205012.nc","co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_204601-205012.nc","co3","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_205101-205512.nc","co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_205101-205512.nc","co3","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_205601-206012.nc","co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_205601-206012.nc","co3","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_206101-206512.nc","co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_206101-206512.nc","co3","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_206601-207012.nc","co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_206601-207012.nc","co3","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_207101-207512.nc","co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_207101-207512.nc","co3","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_207601-208012.nc","co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_207601-208012.nc","co3","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_208101-208512.nc","co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_208101-208512.nc","co3","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_208601-209012.nc","co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_208601-209012.nc","co3","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_209101-209512.nc","co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_209101-209512.nc","co3","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_209601-210012.nc","co3_Omon_GFDL-ESM2G_rcp85_r1i1p1_209601-210012.nc","co3","Omon","GFDL-ESM2G","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_200601-201012.nc","co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_200601-201012.nc","co3","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_201101-201512.nc","co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_201101-201512.nc","co3","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_201601-202012.nc","co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_201601-202012.nc","co3","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_202101-202512.nc","co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_202101-202512.nc","co3","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_202601-203012.nc","co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_202601-203012.nc","co3","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_203101-203512.nc","co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_203101-203512.nc","co3","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_203601-204012.nc","co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_203601-204012.nc","co3","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_204101-204512.nc","co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_204101-204512.nc","co3","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_204601-205012.nc","co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_204601-205012.nc","co3","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_205101-205512.nc","co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_205101-205512.nc","co3","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_205601-206012.nc","co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_205601-206012.nc","co3","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_206101-206512.nc","co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_206101-206512.nc","co3","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_206601-207012.nc","co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_206601-207012.nc","co3","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_207101-207512.nc","co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_207101-207512.nc","co3","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_207601-208012.nc","co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_207601-208012.nc","co3","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_208101-208512.nc","co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_208101-208512.nc","co3","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_208601-209012.nc","co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_208601-209012.nc","co3","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_209101-209512.nc","co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_209101-209512.nc","co3","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_209601-210012.nc","co3_Omon_GFDL-ESM2M_rcp85_r1i1p1_209601-210012.nc","co3","Omon","GFDL-ESM2M","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_HadGEM2-CC_rcp85_r1i1p1_200512-209911.nc","co3_Omon_HadGEM2-CC_rcp85_r1i1p1_200512-209911.nc","co3","Omon","HadGEM2-CC","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_HadGEM2-CC_rcp85_r1i1p1_209912-210012.nc","co3_Omon_HadGEM2-CC_rcp85_r1i1p1_209912-210012.nc","co3","Omon","HadGEM2-CC","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_HadGEM2-ES_rcp85_r1i1p1_200512-209912.nc","co3_Omon_HadGEM2-ES_rcp85_r1i1p1_200512-209912.nc","co3","Omon","HadGEM2-ES","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_HadGEM2-ES_rcp85_r1i1p1_209912-219911.nc","co3_Omon_HadGEM2-ES_rcp85_r1i1p1_209912-219911.nc","co3","Omon","HadGEM2-ES","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_HadGEM2-ES_rcp85_r1i1p1_219912-229911.nc","co3_Omon_HadGEM2-ES_rcp85_r1i1p1_219912-229911.nc","co3","Omon","HadGEM2-ES","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_HadGEM2-ES_rcp85_r1i1p1_229912-229912.nc","co3_Omon_HadGEM2-ES_rcp85_r1i1p1_229912-229912.nc","co3","Omon","HadGEM2-ES","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_IPSL-CM5A-LR_rcp85_r1i1p1_200601-210512.nc","co3_Omon_IPSL-CM5A-LR_rcp85_r1i1p1_200601-210512.nc","co3","Omon","IPSL-CM5A-LR","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_IPSL-CM5A-LR_rcp85_r1i1p1_210601-220512.nc","co3_Omon_IPSL-CM5A-LR_rcp85_r1i1p1_210601-220512.nc","co3","Omon","IPSL-CM5A-LR","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_IPSL-CM5A-LR_rcp85_r1i1p1_220601-230012.nc","co3_Omon_IPSL-CM5A-LR_rcp85_r1i1p1_220601-230012.nc","co3","Omon","IPSL-CM5A-LR","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_IPSL-CM5A-MR_rcp85_r1i1p1_200601-210012.nc","co3_Omon_IPSL-CM5A-MR_rcp85_r1i1p1_200601-210012.nc","co3","Omon","IPSL-CM5A-MR","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_IPSL-CM5B-LR_rcp85_r1i1p1_200601-210012.nc","co3_Omon_IPSL-CM5B-LR_rcp85_r1i1p1_200601-210012.nc","co3","Omon","IPSL-CM5B-LR","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_MPI-ESM-LR_rcp85_r1i1p1_200601-210012.nc","co3_Omon_MPI-ESM-LR_rcp85_r1i1p1_200601-210012.nc","co3","Omon","MPI-ESM-LR","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_MPI-ESM-LR_rcp85_r1i1p1_210101-230012.nc","co3_Omon_MPI-ESM-LR_rcp85_r1i1p1_210101-230012.nc","co3","Omon","MPI-ESM-LR","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_MPI-ESM-MR_rcp85_r1i1p1_200601-210012.nc","co3_Omon_MPI-ESM-MR_rcp85_r1i1p1_200601-210012.nc","co3","Omon","MPI-ESM-MR","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_NorESM1-ME_rcp85_r1i1p1_200601-204412.nc","co3_Omon_NorESM1-ME_rcp85_r1i1p1_200601-204412.nc","co3","Omon","NorESM1-ME","rcp85","r1i1p1"
"/pic/projects/GCAM/CMIP5-CHartin/CMIP5_RCP85/co3/co3_Omon_NorESM1-ME_rcp85_r1i1p1_204501-210012.nc","co3_Omon_NorESM1-ME_rcp85_r1i1p1_204501-210012.nc","co3","Omon","NorESM1-ME","rcp85","r1i1p1"
