"time","units","value","year","month","model","experiment","variable","ensemble","method_used"
18500117.0208333,"mol m-3",0.220159739255905,"1850","01","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18500215,"mol m-3",0.219971492886543,"1850","02","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18500316.5,"mol m-3",0.219990983605385,"1850","03","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18500416,"mol m-3",0.219598054885864,"1850","04","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18500516.5,"mol m-3",0.219389721751213,"1850","05","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18500616,"mol m-3",0.219501882791519,"1850","06","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18500716.5,"mol m-3",0.218445047736168,"1850","07","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18500816.5,"mol m-3",0.217437148094177,"1850","08","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18500916,"mol m-3",0.217497780919075,"1850","09","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18501016.5,"mol m-3",0.217910021543503,"1850","10","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18501116,"mol m-3",0.218511924147606,"1850","11","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18501216.5,"mol m-3",0.219824507832527,"1850","12","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18510116.5,"mol m-3",0.220910742878914,"1851","01","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18510215,"mol m-3",0.220660045742989,"1851","02","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18510316.5,"mol m-3",0.22002749145031,"1851","03","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18510416,"mol m-3",0.21952286362648,"1851","04","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18510516.5,"mol m-3",0.218834981322289,"1851","05","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18510616,"mol m-3",0.218959227204323,"1851","06","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18510716.5,"mol m-3",0.218135237693787,"1851","07","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18510816.5,"mol m-3",0.217219695448875,"1851","08","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18510916,"mol m-3",0.216975778341293,"1851","09","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18511016.5,"mol m-3",0.217209726572037,"1851","10","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18511116,"mol m-3",0.217515841126442,"1851","11","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18511216.5,"mol m-3",0.218334689736366,"1851","12","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18520116.5,"mol m-3",0.218971326947212,"1852","01","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18520215,"mol m-3",0.219029828906059,"1852","02","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18520316.5,"mol m-3",0.218932390213013,"1852","03","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18520416,"mol m-3",0.218516439199448,"1852","04","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18520516.5,"mol m-3",0.2184077501297,"1852","05","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18520616,"mol m-3",0.218217357993126,"1852","06","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18520716.5,"mol m-3",0.217342525720596,"1852","07","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18520816.5,"mol m-3",0.216555550694466,"1852","08","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18520916,"mol m-3",0.21634341776371,"1852","09","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18521016.5,"mol m-3",0.216818675398827,"1852","10","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18521116,"mol m-3",0.217166692018509,"1852","11","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18521216.5,"mol m-3",0.218199148774147,"1852","12","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18530116.5,"mol m-3",0.219093978404999,"1853","01","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18530215,"mol m-3",0.219272419810295,"1853","02","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18530316.5,"mol m-3",0.218928873538971,"1853","03","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18530416,"mol m-3",0.218478679656982,"1853","04","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18530516.5,"mol m-3",0.218745484948158,"1853","05","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18530616,"mol m-3",0.218671530485153,"1853","06","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18530716.5,"mol m-3",0.217626363039017,"1853","07","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18530816.5,"mol m-3",0.216571196913719,"1853","08","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18530916,"mol m-3",0.216417774558067,"1853","09","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18531016.5,"mol m-3",0.216586530208588,"1853","10","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18531116,"mol m-3",0.217132344841957,"1853","11","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18531216.5,"mol m-3",0.21868859231472,"1853","12","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18540116.5,"mol m-3",0.219518810510635,"1854","01","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18540215,"mol m-3",0.219252541661263,"1854","02","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18540316.5,"mol m-3",0.219124436378479,"1854","03","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18540416,"mol m-3",0.218794897198677,"1854","04","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18540516.5,"mol m-3",0.218890741467476,"1854","05","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18540616,"mol m-3",0.21894508600235,"1854","06","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18540716.5,"mol m-3",0.218003302812576,"1854","07","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18540816.5,"mol m-3",0.217351779341698,"1854","08","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18540916,"mol m-3",0.217344626784325,"1854","09","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18541016.5,"mol m-3",0.217769309878349,"1854","10","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18541116,"mol m-3",0.218386054039001,"1854","11","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18541216.5,"mol m-3",0.219586908817291,"1854","12","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18550116.5,"mol m-3",0.220771566033363,"1855","01","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18550215,"mol m-3",0.220773071050644,"1855","02","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18550316.5,"mol m-3",0.220558762550354,"1855","03","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18550416,"mol m-3",0.220343038439751,"1855","04","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18550516.5,"mol m-3",0.220223054289818,"1855","05","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18550616,"mol m-3",0.220256969332695,"1855","06","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18550716.5,"mol m-3",0.219234436750412,"1855","07","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18550816.5,"mol m-3",0.217966675758362,"1855","08","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18550916,"mol m-3",0.217639967799187,"1855","09","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18551016.5,"mol m-3",0.217860862612724,"1855","10","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18551116,"mol m-3",0.218305021524429,"1855","11","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18551216.5,"mol m-3",0.219441428780556,"1855","12","CESM1-BGC","historical","co3","r1i1p1","fldmean"
18560116.5,"mol m-3",0.219884857535362,"1856","01","CESM1-BGC","historical","co3","r1i1p1","fldmean"
