basin,lat1,lat2,lon1,lon2
BATS,25,37,-81,-57
ESTOC,29,28,-15,-16
HOTS,22,22,158,158
IcelandSea,68,64,12,28
IrmingerSea,64,68,28,12
FlindersReef,5,6,162,163
